property_type,sectors,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,pooja room,furnish_type,luxury_category,floor_category
flat,aminpur,3.0,2.0,1.0,Under Construction,1039.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,manikonda,3.0,3.0,1.0,Old Property,1923.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,bachupally,2.0,2.0,2.0,New Property,1160.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,peerzadiguda,3.0,3.0,2.0,New Property,1525.0,0.0,1.0,semifurnished,Low,Low Floor
flat,parimala nagar,3.0,3.0,2.0,New Property,1530.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,bandlaguda jagir,2.0,2.0,1.0,New Property,1440.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,ameerpet,3.0,3.0,2.0,New Property,2249.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,gachibowli,3.0,3.0,1.0,Relatively New,1993.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,hyderguda,3.0,2.0,2.0,Old Property,1248.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,kompally,3.0,2.0,1.0,New Property,1525.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,kukatpally,3.0,3.0,2.0,Moderately Old,1600.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,miyapur,3.0,2.0,3.0,Old Property,1526.0,0.0,1.0,unfurnished,Low,Low Floor
flat,kondapur,3.0,3.0,2.0,Relatively New,1945.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,yapral,3.0,3.0,2.0,Old Property,1550.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,shilpa hills,3.0,3.0,1.0,Moderately Old,2705.0,0.0,1.0,furnished,Low,High Floor
flat,yapral,4.0,3.0,3.0,Moderately Old,2564.0,0.0,0.0,semifurnished,Low,Low Floor
flat,ramachandrapuram,3.0,3.0,2.0,New Property,1520.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,nallagandla,3.0,3.0,2.0,Under Construction,1754.0,0.0,0.0,unfurnished,Low,High Floor
flat,zahra nagar,2.0,2.0,2.0,Moderately Old,927.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,ou colony,3.0,3.0,4.0,New Property,2385.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,nanakramguda,3.0,3.0,2.0,Moderately Old,1920.0,0.0,0.0,semifurnished,Low,High Floor
flat,gopanpally,3.0,3.0,1.0,Relatively New,1725.0,0.0,0.0,furnished,Low,Low Floor
flat,kondapur,3.0,3.0,3.0,New Property,2534.0,0.0,0.0,unfurnished,Low,High Floor
flat,kukatpally,2.0,2.0,2.0,Moderately Old,1230.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,bachupally,2.0,2.0,2.0,New Property,1145.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,yapral,3.0,3.0,3.0,New Property,1790.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,bahadurpally,2.0,2.0,1.0,New Property,1185.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,padmarao nagar,3.0,2.0,1.0,Old Property,1320.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,barkatpura,2.0,2.0,2.0,Old Property,750.0,0.0,0.0,semifurnished,Low,Low Floor
flat,miyapur,3.0,3.0,2.0,Relatively New,1686.0,0.0,1.0,furnished,Low,Mid Floor
flat,kompally,3.0,2.0,1.0,New Property,1525.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,lalitha nagar,2.0,2.0,2.0,Old Property,1000.0,0.0,0.0,semifurnished,Low,Low Floor
flat,ghatkesar,2.0,2.0,2.0,Under Construction,1050.0,0.0,1.0,unfurnished,Low,Low Floor
flat,bolarum,2.0,2.0,2.0,New Property,1140.0,0.0,0.0,semifurnished,Low,Low Floor
flat,nanakramguda,3.0,3.0,1.0,Relatively New,1695.0,0.0,0.0,furnished,Low,Low Floor
flat,nallagandla,3.0,3.0,2.0,Old Property,1683.0,0.0,0.0,semifurnished,Low,Low Floor
flat,pragathi nagar,4.0,3.0,3.0,Old Property,1600.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,bachupally,3.0,2.0,1.0,Under Construction,1353.0,0.0,0.0,unfurnished,Low,High Floor
flat,manikonda,3.0,2.0,1.0,Relatively New,1600.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,narsingi,3.0,3.0,1.0,Relatively New,1680.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,gachibowli,3.0,2.0,1.0,Relatively New,1495.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,new malakpet,2.0,2.0,1.0,New Property,840.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,pedso 2,2.0,2.0,1.0,Moderately Old,1040.0,0.0,1.0,semifurnished,Low,Low Floor
flat,kokapet,3.0,3.0,2.0,New Property,1905.0,0.0,0.0,unfurnished,Low,High Floor
flat,osman nagar,3.0,3.0,2.0,Under Construction,1725.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,shaikpet,3.0,3.0,2.0,New Property,2100.0,0.0,0.0,unfurnished,Low,High Floor
flat,nagaram,3.0,3.0,2.0,New Property,1700.0,0.0,1.0,unfurnished,Low,Low Floor
flat,kondapur,2.0,2.0,2.0,Relatively New,1121.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,shaikpet,3.0,3.0,2.0,Relatively New,2100.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,isnapur,1.0,1.0,1.0,Relatively New,625.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,manchirevula village,3.0,2.0,2.0,New Property,1375.0,0.0,0.0,unfurnished,Low,Low Floor
flat,suchitra,3.0,3.0,4.0,Relatively New,1894.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,moula ali,2.0,2.0,2.0,New Property,1240.0,0.0,0.0,unfurnished,Low,Low Floor
flat,masab tank,3.0,2.0,1.0,Old Property,1500.0,0.0,0.0,semifurnished,Low,Low Floor
flat,west marredpally,2.0,2.0,1.0,Old Property,1425.0,0.0,0.0,semifurnished,Low,Low Floor
flat,kompally,3.0,3.0,1.0,New Property,2230.0,1.0,1.0,unfurnished,Low,Mid Floor
flat,bairagiguda,3.0,3.0,1.0,New Property,1400.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,medchal & kalkal village,3.0,2.0,1.0,Old Property,1200.0,0.0,1.0,semifurnished,Low,Low Floor
flat,appa junction,3.0,3.0,3.0,Under Construction,1580.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,puppalaguda,2.0,2.0,1.0,Relatively New,1314.0,0.0,0.0,semifurnished,Low,High Floor
flat,bachupally,2.0,2.0,0.0,New Property,1180.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,kukatpally,2.0,2.0,2.0,Relatively New,1279.0,0.0,0.0,semifurnished,Low,High Floor
flat,tolichowki,4.0,3.0,2.0,Under Construction,1901.0,0.0,0.0,unfurnished,Low,Low Floor
flat,narayanguda,2.0,2.0,2.0,Old Property,1200.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,moula ali,3.0,3.0,2.0,New Property,1593.0,0.0,1.0,unfurnished,Low,Low Floor
flat,vaidehi nagar,2.0,2.0,2.0,Moderately Old,1160.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,jawahar nagar,2.0,2.0,2.0,Old Property,870.0,0.0,0.0,semifurnished,Low,Low Floor
flat,kompally,3.0,3.0,1.0,New Property,1820.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,patancheru,3.0,3.0,2.0,Under Construction,1367.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,gopanpally,3.0,3.0,2.0,New Property,1965.0,0.0,1.0,unfurnished,Low,High Floor
flat,kondapur,2.0,2.0,1.0,New Property,1290.0,0.0,0.0,unfurnished,Low,High Floor
